,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
724,19071,01,08,19,24,29,30,04
725,19070,06,15,18,19,24,32,09
726,19069,06,11,16,19,21,25,01
727,19068,03,14,20,24,26,33,10
728,19067,04,06,08,11,30,33,11
729,19066,01,14,17,20,22,32,04
730,19065,06,09,11,15,20,26,10
731,19064,12,20,24,25,30,33,12
732,19063,01,14,19,22,29,31,16
733,19062,07,13,16,23,26,30,01
734,19061,03,17,19,24,27,31,12
735,19060,03,04,14,20,23,27,01
736,19059,04,05,07,09,16,18,06
737,19058,07,08,12,21,23,27,12
738,19057,04,05,06,08,13,18,16
739,19056,13,14,17,19,21,29,01
740,19055,01,06,11,15,19,31,10
741,19054,07,10,11,15,24,26,11
742,19053,04,16,22,25,29,31,08
743,19052,03,06,09,13,16,19,16
744,19051,08,09,10,13,15,28,09
745,19050,04,06,10,11,21,23,02
746,19049,03,10,13,22,23,28,15
747,19048,03,07,10,12,18,29,10
748,19047,03,11,18,25,30,33,14
749,19046,02,12,16,22,25,32,06
750,19045,01,06,17,19,27,31,14
751,19044,06,14,16,17,23,29,07
752,19043,01,06,12,13,24,32,13
753,19042,15,17,19,22,25,26,04
754,19041,02,09,13,23,24,26,16
755,19040,05,06,09,18,23,31,11
756,19039,06,07,11,14,27,32,08
757,19038,09,12,21,27,29,30,05
758,19037,01,07,12,14,18,25,10
759,19036,02,10,13,16,23,32,08
760,19035,01,05,07,09,10,20,16
761,19034,09,11,15,22,24,26,03
762,19033,09,15,19,21,23,29,15
763,19032,04,08,09,13,28,33,04
764,19031,03,13,15,18,21,33,16
765,19030,04,05,07,10,12,22,16
766,19029,08,11,17,23,32,33,10
767,19028,04,19,22,26,29,30,11
768,19027,02,06,08,10,11,17,13
769,19026,03,13,15,19,20,27,14
770,19025,15,16,21,27,30,33,04
771,19024,01,08,23,25,28,29,10
772,19023,01,10,14,15,18,31,13
773,19022,03,07,11,21,30,33,07
774,19021,02,05,07,08,20,27,04
775,19020,02,12,13,23,27,28,12
776,19019,03,11,17,18,24,25,06
777,19018,04,11,18,19,26,32,04
778,19017,04,05,24,28,30,33,09
779,19016,05,07,09,11,19,25,05
780,19015,11,15,16,20,24,31,04
781,19014,01,02,03,14,19,33,03
782,19013,05,07,14,16,18,21,01
783,19012,07,10,21,23,31,33,14
784,19011,10,13,19,21,24,30,07
785,19010,02,04,05,08,11,30,02
786,19009,01,07,10,22,31,32,15
787,19008,02,06,09,13,28,32,12
788,19007,06,10,14,15,19,23,15
789,19006,01,05,10,19,26,28,12
790,19005,21,22,26,28,31,32,07
791,19004,08,12,16,19,26,32,03
792,19003,13,17,20,21,22,27,01
793,19002,04,05,06,08,09,18,11
794,19001,06,10,13,15,32,33,15
795,18153,01,07,17,23,25,31,11
796,18152,04,14,16,23,28,29,03
797,18151,05,15,19,25,26,29,15
798,18150,06,08,15,19,20,31,05
799,18149,01,07,08,10,12,24,01
800,18148,03,06,18,19,21,31,01
801,18147,03,15,17,23,27,30,11
802,18146,02,10,11,17,18,29,16
803,18145,03,09,13,22,23,25,06
804,18144,08,13,17,18,20,27,13
805,18143,04,06,15,28,32,33,14
806,18142,05,08,10,11,27,28,11
807,18141,11,14,16,18,24,33,04
808,18140,01,15,20,22,25,28,14
809,18139,11,18,20,23,31,32,15
810,18138,01,10,25,27,30,32,09
811,18137,03,05,11,15,20,23,09
812,18136,10,12,15,25,26,27,14
813,18135,01,03,06,10,11,29,16
814,18134,03,16,18,31,32,33,12
815,18133,02,04,11,12,18,32,13
816,18132,01,02,09,10,15,22,06
817,18131,21,22,24,31,32,33,01
818,18130,05,12,17,18,24,28,12
819,18129,02,04,06,16,18,19,16
820,18128,06,07,08,19,22,23,02
821,18127,02,05,06,07,11,15,12
822,18126,01,06,08,09,14,22,05
823,18125,03,10,11,14,15,32,02
824,18124,09,13,14,19,22,25,02
825,18123,13,21,24,27,31,32,01
826,18122,05,07,20,22,30,32,10
827,18121,06,08,14,19,23,25,11
828,18120,03,04,18,26,27,33,01
829,18119,03,13,14,16,25,27,12
830,18118,08,12,21,22,27,31,09
831,18117,08,11,15,17,23,25,05
832,18116,05,14,17,22,23,28,15
833,18115,01,13,19,24,26,29,11
834,18114,01,07,15,16,20,27,14
835,18113,01,06,09,16,25,26,09
836,18112,05,08,18,25,26,31,04
837,18111,01,07,14,24,25,28,08
838,18110,11,13,16,21,22,23,02
839,18109,10,11,18,23,31,33,15
840,18108,05,13,18,21,26,30,02
841,18107,01,02,05,12,20,22,01
842,18106,04,18,19,24,25,26,10
843,18105,04,05,13,18,19,25,01
844,18104,02,03,06,19,25,29,01
845,18103,02,09,15,22,23,24,16
846,18102,02,06,11,19,21,28,05
847,18101,01,03,14,26,29,33,09
848,18100,02,11,14,15,29,33,02
849,18099,03,07,08,14,25,32,06
850,18098,06,10,11,20,29,32,13
851,18097,01,02,17,20,25,28,13
852,18096,01,05,09,20,28,32,12
853,18095,10,11,12,21,26,33,09
854,18094,04,07,16,20,24,30,05
855,18093,04,18,20,21,29,33,07
856,18092,06,10,16,19,24,33,16
857,18091,06,11,13,17,25,32,07
858,18090,01,02,04,10,14,23,07
859,18089,06,09,12,14,18,27,14
860,18088,03,05,12,29,30,32,14
861,18087,01,05,10,16,18,31,03
862,18086,02,07,17,21,23,26,16
863,18085,04,10,25,26,30,33,06
864,18084,05,06,08,12,22,24,03
865,18083,04,09,18,21,32,33,03
866,18082,06,12,14,20,22,24,09
867,18081,01,02,12,16,20,26,03
868,18080,04,07,13,20,29,33,03
869,18079,14,15,17,22,24,29,13
870,18078,03,10,14,17,18,30,12
871,18077,02,05,09,15,20,24,10
872,18076,03,07,08,15,29,30,13
873,18075,07,09,12,13,22,24,11
874,18074,09,11,14,20,27,30,09
875,18073,02,09,14,15,16,23,10
876,18072,11,16,19,22,25,30,08
877,18071,02,05,06,13,16,19,03
878,18070,04,09,15,16,19,27,10
879,18069,06,13,17,19,23,31,12
880,18068,08,10,17,20,27,30,01
881,18067,01,04,09,12,15,18,05
882,18066,09,16,17,19,22,26,10
883,18065,01,04,06,14,28,33,01
884,18064,02,05,10,11,17,21,05
885,18063,05,06,10,16,20,25,12
886,18062,02,18,19,24,25,33,11
887,18061,09,10,11,12,18,23,07
888,18060,04,08,13,25,30,31,10
889,18059,04,06,08,13,22,32,11
890,18058,07,12,13,16,26,31,07
891,18057,05,15,17,19,20,30,13
892,18056,01,03,06,20,21,26,01
893,18055,07,09,10,12,22,26,07
894,18054,04,06,18,22,25,33,16
895,18053,01,04,10,11,14,27,06
896,18052,03,05,06,09,15,32,14
897,18051,05,07,20,23,27,31,04
898,18050,01,02,04,10,18,19,07
899,18049,01,03,04,11,19,23,02
900,18048,01,12,20,25,30,31,02
901,18047,06,07,12,16,22,25,07
902,18046,10,13,14,18,20,31,03
903,18045,03,04,06,25,26,30,01
904,18044,05,09,12,17,27,30,06
905,18043,01,04,06,08,21,24,07
906,18042,06,10,21,28,29,31,12
907,18041,07,08,20,23,24,32,13
908,18040,01,03,08,13,18,23,16
909,18039,08,12,18,19,23,32,03
910,18038,15,23,24,25,28,29,09
911,18037,01,06,07,08,27,30,10
912,18036,08,17,24,26,28,33,04
913,18035,07,10,11,17,23,28,15
914,18034,01,05,11,22,23,26,15
915,18033,04,19,20,22,28,33,06
916,18032,21,22,23,24,25,32,06
917,18031,02,16,18,19,27,30,14
918,18030,13,14,20,21,25,33,07
919,18029,01,02,09,14,22,25,05
920,18028,03,08,11,14,18,23,16
921,18027,02,07,09,14,18,28,05
922,18026,04,07,12,14,26,32,04
923,18025,04,13,16,19,21,25,14
924,18024,11,19,22,26,31,32,02
925,18023,12,15,16,21,26,29,16
926,18022,07,14,19,21,22,23,03
927,18021,03,04,06,11,23,28,14
928,18020,06,09,10,14,28,30,05
929,18019,03,11,12,16,21,23,09
930,18018,02,12,13,18,25,27,07
931,18017,03,06,11,26,30,32,12
932,18016,01,11,12,18,25,27,16
933,18015,11,15,20,21,26,33,15
934,18014,09,12,20,24,28,31,07
935,18013,06,08,13,15,22,33,06
936,18012,11,12,13,19,26,28,12
937,18011,03,10,21,23,27,33,11
938,18010,01,08,17,20,21,22,03
939,18009,05,10,17,23,26,32,07
940,18008,05,09,10,12,17,19,13
941,18007,13,14,20,25,27,31,12
942,18006,02,07,08,09,17,29,11
943,18005,02,20,21,28,31,33,06
944,18004,14,18,19,26,30,31,11
945,18003,01,14,16,17,20,31,04
946,18002,07,18,24,29,31,33,16
947,18001,01,08,11,26,28,31,04
948,17154,05,09,13,15,18,26,05
949,17153,07,11,12,13,18,19,16
950,17152,06,10,23,25,26,29,05
951,17151,02,05,07,09,11,27,16
952,17150,06,14,19,20,21,23,08
953,17149,05,08,15,20,27,30,13
954,17148,04,07,11,14,29,32,12
955,17147,03,07,20,21,25,31,14
956,17146,01,19,25,26,27,33,10
957,17145,02,06,12,17,25,28,12
958,17144,03,14,16,20,31,32,09
959,17143,04,06,09,14,20,29,14
960,17142,08,13,14,18,23,33,06
961,17141,01,06,07,11,13,15,05
962,17140,21,22,25,28,29,30,08
963,17139,02,14,20,24,28,32,16
964,17138,01,17,24,28,32,33,02
965,17137,05,10,20,23,26,31,03
966,17136,03,07,10,18,21,24,12
967,17135,01,06,07,14,18,26,16
968,17134,04,05,11,14,28,32,04
969,17133,06,15,17,18,23,30,11
970,17132,02,03,05,09,13,28,11
971,17131,01,07,10,11,26,27,11
972,17130,05,13,14,23,25,31,02
973,17129,05,06,09,14,21,33,02
974,17128,02,06,13,22,29,31,08
975,17127,14,15,21,24,27,32,12
976,17126,01,16,17,21,27,30,16
977,17125,01,14,23,25,29,30,03
978,17124,02,06,11,26,28,29,03
979,17123,04,05,06,11,21,31,10
980,17122,11,20,21,22,24,27,15
981,17121,11,18,19,22,24,32,07
982,17120,08,10,15,19,23,28,16
983,17119,09,16,21,25,26,31,14
984,17118,08,09,15,22,30,33,16
985,17117,01,02,08,11,14,21,09
986,17116,02,14,20,22,30,32,02
987,17115,04,10,11,25,30,31,01
988,17114,06,12,13,15,18,26,13
989,17113,04,06,16,27,29,33,05
990,17112,03,10,14,16,22,23,11
991,17111,05,10,17,19,29,32,12
992,17110,01,03,12,15,19,23,14
993,17109,08,14,16,18,21,23,16
994,17108,07,12,14,15,17,20,01
995,17107,08,09,15,17,30,32,06
996,17106,12,15,20,25,27,31,02
997,17105,03,06,07,12,25,26,07
998,17104,01,14,15,20,23,30,14
999,17103,01,21,23,25,31,33,01
1000,17102,04,08,10,14,18,20,11
1001,17101,01,04,11,28,31,32,16
1002,17100,04,07,08,18,23,24,02
1003,17099,02,05,06,16,28,29,04
1004,17098,04,19,22,27,30,33,01
1005,17097,05,10,18,19,30,31,03
1006,17096,02,06,11,12,19,29,06
1007,17095,09,10,12,19,22,29,16
1008,17094,08,11,13,19,28,31,06
1009,17093,07,08,09,15,22,27,12
1010,17092,10,18,19,29,32,33,09
1011,17091,05,07,10,23,28,29,03
1012,17090,01,07,10,16,22,33,09
1013,17089,11,12,13,16,23,25,12
1014,17088,07,09,18,22,23,29,06
1015,17087,03,06,13,14,19,28,06
1016,17086,03,05,06,13,20,22,07
1017,17085,01,05,06,16,25,30,09
1018,17084,01,05,11,20,22,24,02
1019,17083,03,08,14,20,24,26,12
1020,17082,14,18,21,25,28,29,10
1021,17081,03,05,14,25,26,30,05
1022,17080,01,12,16,20,22,24,08
1023,17079,03,07,14,23,25,27,08
1024,17078,05,07,18,19,22,24,16
1025,17077,01,02,04,15,17,22,14
1026,17076,01,04,08,09,14,15,13
1027,17075,01,03,06,19,21,29,07
1028,17074,02,06,16,23,30,31,02
1029,17073,03,06,16,23,26,30,14
1030,17072,06,11,14,23,26,30,02
1031,17071,02,03,06,14,31,32,03
1032,17070,01,06,14,22,25,26,12
1033,17069,02,11,12,23,29,31,05
1034,17068,02,06,10,22,30,31,15
1035,17067,01,03,04,10,18,29,04
1036,17066,01,04,06,17,19,26,03
1037,17065,02,05,08,10,12,21,07
1038,17064,02,10,16,22,24,28,15
1039,17063,12,16,20,22,25,31,04
1040,17062,01,07,22,24,26,31,10
1041,17061,06,07,12,20,26,27,11
1042,17060,05,10,13,24,26,31,04
1043,17059,04,08,09,15,19,25,09
1044,17058,01,09,13,22,28,32,11
1045,17057,18,20,22,23,30,31,16
1046,17056,13,14,18,19,21,28,06
1047,17055,07,12,13,20,24,31,05
1048,17054,02,03,09,23,28,33,08
1049,17053,04,09,11,15,29,31,06
1050,17052,07,08,18,24,29,31,07
1051,17051,02,05,09,15,24,25,11
1052,17050,10,12,20,24,27,29,07
1053,17049,01,08,14,15,20,29,10
1054,17048,05,08,09,14,15,19,07
1055,17047,02,05,08,10,32,33,02
1056,17046,04,13,14,23,26,32,10
1057,17045,05,07,16,20,21,25,05
1058,17044,08,16,19,21,31,32,06
1059,17043,08,13,16,23,27,31,08
1060,17042,01,02,04,07,10,23,04
1061,17041,04,10,13,15,22,27,04
1062,17040,15,19,23,28,29,33,04
1063,17039,02,04,12,14,17,24,15
1064,17038,01,04,08,13,24,27,05
1065,17037,11,15,20,22,25,30,05
1066,17036,01,02,05,10,24,27,15
1067,17035,01,06,14,24,28,32,12
1068,17034,04,07,08,19,32,33,13
1069,17033,05,07,15,20,23,30,15
1070,17032,05,08,15,24,27,31,11
1071,17031,06,10,16,26,27,29,03
1072,17030,01,07,09,20,23,30,02
1073,17029,02,15,21,23,25,30,10
1074,17028,07,08,12,13,22,30,09
1075,17027,02,04,11,14,27,30,05
1076,17026,03,10,12,19,27,30,08
1077,17025,02,15,16,17,22,32,07
1078,17024,09,21,25,26,29,31,13
1079,17023,01,03,04,11,18,22,14
1080,17022,02,06,15,16,18,32,15
1081,17021,02,05,10,22,32,33,09
1082,17020,04,08,10,12,31,33,10
1083,17019,04,06,08,12,23,25,08
1084,17018,01,02,03,17,25,31,09
1085,17017,03,07,08,10,22,23,12
1086,17016,05,08,16,22,27,29,02
1087,17015,01,08,09,14,17,32,01
1088,17014,06,08,18,20,23,31,13
1089,17013,08,11,28,29,31,33,06
1090,17012,10,11,14,15,16,24,07
1091,17011,10,11,12,23,26,29,16
1092,17010,05,08,19,25,28,30,07
1093,17009,02,06,08,09,15,29,14
1094,17008,07,13,15,27,28,29,13
1095,17007,02,04,05,24,26,33,15
1096,17006,02,04,08,26,29,33,08
1097,17005,06,11,12,22,23,30,05
1098,17004,05,13,17,26,27,30,07
1099,17003,01,04,08,15,27,32,16
1100,17002,15,19,23,24,25,32,03
1101,17001,09,11,14,20,25,26,15
1102,16153,07,09,16,24,25,29,06
1103,16152,02,08,09,16,20,22,07
1104,16151,06,11,16,20,22,33,07
1105,16150,02,04,05,09,13,21,05
1106,16149,03,20,23,26,32,33,07
1107,16148,01,02,11,20,26,30,14
1108,16147,04,14,18,28,31,32,12
1109,16146,03,07,15,16,17,23,10
1110,16145,01,03,07,12,19,20,06
1111,16144,04,10,12,27,32,33,05
1112,16143,06,09,23,24,25,33,13
1113,16142,01,10,17,21,23,30,12
1114,16141,04,13,15,17,21,24,15
1115,16140,01,02,05,17,26,32,10
1116,16139,01,06,19,26,28,30,03
1117,16138,07,16,20,24,25,30,07
1118,16137,01,06,09,10,15,32,14
1119,16136,02,07,10,20,27,29,03
1120,16135,02,08,10,18,20,33,12
1121,16134,11,12,13,14,18,33,13
1122,16133,15,16,21,22,27,33,15
1123,16132,05,08,13,19,27,28,07
1124,16131,04,10,18,19,25,27,02
1125,16130,03,17,21,23,27,28,01
1126,16129,05,06,08,21,31,33,14
1127,16128,04,09,11,17,26,27,13
1128,16127,07,12,17,26,29,31,16
1129,16126,02,06,12,17,18,19,10
1130,16125,01,06,08,20,27,30,03
1131,16124,09,15,21,24,27,32,10
1132,16123,07,09,12,14,20,27,16
1133,16122,15,22,23,24,28,29,08
1134,16121,02,03,10,23,25,28,09
1135,16120,02,05,06,21,25,28,09
1136,16119,09,19,21,30,31,32,04
1137,16118,09,14,22,23,31,33,14
1138,16117,03,10,14,17,28,33,02
1139,16116,07,18,20,23,27,31,13
1140,16115,06,08,20,22,26,27,09
1141,16114,05,16,20,22,27,29,09
1142,16113,01,11,16,17,20,26,14
1143,16112,06,12,14,15,18,25,12
1144,16111,02,04,07,14,15,32,04
1145,16110,05,07,28,31,32,33,08
1146,16109,09,11,15,16,27,33,05
1147,16108,02,03,07,08,19,26,16
1148,16107,06,11,18,26,27,32,01
1149,16106,04,05,13,22,25,30,04
1150,16105,08,10,19,27,28,31,16
1151,16104,05,09,11,18,30,31,04
1152,16103,01,05,13,19,24,27,11
1153,16102,05,08,10,14,17,30,13
1154,16101,01,03,19,24,32,33,01
1155,16100,03,10,22,23,27,29,04
1156,16099,01,11,21,23,27,33,06
1157,16098,02,08,25,29,31,32,06
1158,16097,06,13,25,26,28,31,01
1159,16096,06,13,14,21,22,24,16
1160,16095,01,05,09,12,18,32,12
1161,16094,06,07,10,12,18,31,10
1162,16093,06,09,15,17,25,27,09
1163,16092,02,13,15,23,24,29,06
1164,16091,04,08,14,22,23,28,07
1165,16090,02,13,17,20,21,26,07
1166,16089,01,03,14,30,31,32,08
1167,16088,03,14,16,18,25,33,15
1168,16087,02,03,10,11,14,21,12
1169,16086,09,10,11,12,15,32,05
1170,16085,01,12,19,20,21,25,16
1171,16084,02,04,12,18,24,26,05
1172,16083,09,16,17,24,30,31,04
1173,16082,06,12,14,15,17,20,09
1174,16081,02,06,15,25,30,32,07
1175,16080,01,16,17,24,25,32,14
1176,16079,01,03,10,12,24,28,02
1177,16078,02,04,08,23,26,29,02
1178,16077,01,09,17,19,20,29,10
1179,16076,07,08,13,22,30,32,01
1180,16075,01,03,06,16,29,32,07
1181,16074,06,10,11,12,20,25,12
1182,16073,09,11,12,15,16,20,13
1183,16072,05,16,19,22,24,25,02
1184,16071,19,21,26,28,29,32,01
1185,16070,03,06,11,18,23,29,01
1186,16069,08,10,11,20,21,27,11
1187,16068,08,19,23,28,31,32,01
1188,16067,09,13,18,20,27,31,04
1189,16066,03,07,13,18,19,20,05
1190,16065,13,16,22,25,26,27,14
1191,16064,03,12,14,17,19,26,03
1192,16063,16,17,18,23,28,32,07
1193,16062,12,13,15,18,19,21,09
1194,16061,05,06,08,18,20,32,08
1195,16060,04,05,22,26,29,32,08
1196,16059,04,11,12,20,25,28,15
1197,16058,03,05,18,20,24,32,11
1198,16057,07,12,19,22,23,26,11
1199,16056,03,04,08,11,16,18,14
1200,16055,05,06,10,16,22,26,11
1201,16054,06,11,16,19,28,32,04
1202,16053,02,08,10,12,29,31,01
1203,16052,01,06,13,19,24,28,16
1204,16051,01,02,04,09,15,33,12
1205,16050,09,12,24,28,29,30,02
1206,16049,06,08,13,14,22,27,10
1207,16048,03,08,13,14,15,30,04
1208,16047,02,05,08,15,17,22,16
1209,16046,07,20,25,26,27,30,14
1210,16045,04,09,12,17,30,32,03
1211,16044,01,03,10,12,18,30,01
1212,16043,05,14,20,26,30,33,12
1213,16042,07,14,17,23,26,31,09
1214,16041,12,17,18,21,22,24,04
1215,16040,03,13,19,20,23,26,03
1216,16039,01,03,07,18,19,27,16
1217,16038,03,12,13,22,28,29,03
1218,16037,06,15,26,31,32,33,16
1219,16036,03,04,07,09,20,22,03
1220,16035,04,13,19,20,26,29,11
1221,16034,03,15,21,22,23,28,15
1222,16033,06,17,18,20,27,29,15
1223,16032,08,12,14,15,21,27,15
1224,16031,03,08,10,19,26,33,03
1225,16030,10,14,19,22,25,29,12
1226,16029,12,15,18,20,21,27,15
1227,16028,06,08,12,21,25,29,01
1228,16027,11,13,15,17,19,31,05
1229,16026,04,09,12,28,30,33,01
1230,16025,04,11,12,17,24,30,12
1231,16024,02,05,07,14,18,31,13
1232,16023,03,06,10,19,25,29,07
1233,16022,04,09,19,22,23,30,07
1234,16021,09,11,13,22,24,26,05
1235,16020,01,02,10,12,22,24,10
1236,16019,06,13,16,17,23,30,10
1237,16018,12,13,14,17,21,25,04
1238,16017,05,06,08,20,22,30,05
1239,16016,01,20,22,24,25,26,16
1240,16015,01,02,14,22,25,26,07
1241,16014,02,08,10,18,20,27,07
1242,16013,07,12,21,22,26,31,01
1243,16012,07,12,14,16,27,32,15
1244,16011,03,08,10,15,22,29,12
1245,16010,02,04,12,14,19,25,06
1246,16009,10,14,24,25,27,32,04
1247,16008,02,15,24,29,32,33,02
1248,16007,05,12,14,20,27,29,06
1249,16006,13,16,18,20,28,31,12
1250,16005,11,14,18,20,31,33,14
1251,16004,08,10,17,22,25,33,12
1252,16003,01,10,14,23,26,28,01
1253,16002,09,14,17,20,24,30,16
1254,16001,06,13,16,18,20,22,13
1255,15154,07,09,11,15,18,25,07
1256,15153,08,11,15,22,27,29,03
1257,15152,11,18,19,21,29,32,12
1258,15151,05,06,08,23,31,32,11
1259,15150,01,03,08,11,29,31,13
1260,15149,09,10,20,21,22,33,09
1261,15148,09,13,14,22,26,27,07
1262,15147,08,09,16,23,24,30,05
1263,15146,16,17,21,28,30,32,15
1264,15145,07,08,15,19,20,24,13
1265,15144,01,04,07,15,28,32,16
1266,15143,13,15,19,20,21,32,04
1267,15142,13,17,19,20,22,25,11
1268,15141,03,08,19,25,27,28,02
1269,15140,06,20,28,29,30,31,12
1270,15139,01,10,13,18,25,27,09
1271,15138,01,02,08,16,19,24,11
1272,15137,14,22,23,27,28,31,12
1273,15136,02,05,12,23,28,29,01
1274,15135,01,12,14,18,26,32,07
1275,15134,02,05,14,19,27,31,04
1276,15133,02,03,13,20,22,24,15
1277,15132,03,05,11,28,30,33,01
1278,15131,10,12,13,19,22,26,03
1279,15130,06,14,15,16,17,22,10
1280,15129,05,08,11,16,18,27,04
1281,15128,01,03,08,11,22,28,06
1282,15127,07,10,19,22,27,33,06
1283,15126,10,11,15,20,23,29,12
1284,15125,05,13,22,27,30,33,10
1285,15124,02,03,05,12,18,27,01
1286,15123,05,08,09,12,22,28,07
1287,15122,05,07,11,16,22,25,07
1288,15121,01,03,20,21,28,29,12
1289,15120,16,21,24,26,27,29,16
1290,15119,02,08,10,18,23,31,08
1291,15118,01,04,11,21,23,31,12
1292,15117,04,11,12,18,26,32,12
1293,15116,04,06,15,23,26,28,11
1294,15115,01,07,08,14,24,32,03
1295,15114,04,07,09,13,21,26,01
1296,15113,01,05,07,08,19,27,12
1297,15112,01,03,10,19,20,27,11
1298,15111,08,14,16,18,20,30,12
1299,15110,05,07,16,17,22,23,04
1300,15109,01,08,09,16,32,33,13
1301,15108,02,12,19,22,24,27,15
1302,15107,07,14,16,18,21,25,08
1303,15106,01,03,04,23,31,32,13
1304,15105,09,10,16,19,20,26,12
1305,15104,09,18,21,23,25,26,01
1306,15103,06,08,13,26,30,32,14
1307,15102,07,09,12,14,21,23,06
1308,15101,08,16,22,24,28,29,05
1309,15100,02,03,11,17,19,21,08
1310,15099,06,07,10,11,14,22,09
1311,15098,06,09,13,26,27,33,01
1312,15097,09,12,14,20,26,27,04
1313,15096,06,16,17,23,24,31,07
1314,15095,04,15,21,28,30,31,04
1315,15094,01,04,06,13,16,17,10
1316,15093,01,03,13,21,25,31,08
1317,15092,09,15,19,21,26,27,01
1318,15091,05,07,17,19,22,31,11
1319,15090,10,12,14,22,25,33,15
1320,15089,12,14,19,27,28,29,01
1321,15088,02,12,20,24,29,31,09
1322,15087,09,15,16,19,20,28,11
1323,15086,05,06,08,16,18,22,12
1324,15085,02,08,25,27,28,29,05
1325,15084,15,18,20,22,28,29,15
1326,15083,06,07,16,18,29,32,05
1327,15082,02,08,09,14,28,30,07
1328,15081,13,20,22,26,28,31,13
1329,15080,14,17,25,27,28,30,02
1330,15079,09,14,15,20,26,32,11
1331,15078,03,07,20,22,26,29,02
1332,15077,01,06,08,10,13,27,16
1333,15076,01,09,10,19,23,27,09
1334,15075,06,11,13,19,21,32,04
1335,15074,04,07,21,25,26,29,08
1336,15073,01,02,17,22,26,27,04
1337,15072,01,03,05,20,21,31,05
1338,15071,08,18,20,28,29,31,08
1339,15070,01,07,13,19,21,29,15
1340,15069,01,13,17,18,23,30,15
1341,15068,06,15,18,21,26,27,10
1342,15067,02,05,08,24,25,31,14
1343,15066,05,08,11,17,24,28,16
1344,15065,08,10,14,19,26,29,12
1345,15064,11,12,14,17,23,27,01
1346,15063,01,07,09,16,22,32,12
1347,15062,09,14,15,18,21,26,16
1348,15061,06,18,22,26,32,33,04
1349,15060,01,03,18,27,31,32,13
1350,15059,02,06,09,16,25,32,14
1351,15058,02,09,10,18,19,20,15
1352,15057,09,20,24,25,26,32,04
1353,15056,01,07,08,16,18,20,14
1354,15055,01,10,15,18,19,28,02
1355,15054,01,02,07,10,22,26,07
1356,15053,03,07,17,22,32,33,10
1357,15052,02,04,11,16,25,26,12
1358,15051,04,10,24,26,28,32,09
1359,15050,03,09,12,16,17,31,04
1360,15049,07,12,14,17,20,23,05
1361,15048,13,16,17,22,25,27,10
1362,15047,02,03,20,24,26,27,09
1363,15046,05,07,10,14,23,31,01
1364,15045,01,05,13,22,30,31,07
1365,15044,02,03,04,13,14,16,02
1366,15043,11,12,15,24,26,27,15
1367,15042,09,10,19,21,23,32,08
1368,15041,04,09,11,17,21,25,06
1369,15040,13,16,18,27,30,32,16
1370,15039,01,13,15,26,29,30,12
1371,15038,05,06,11,12,14,33,14
1372,15037,05,07,12,18,28,31,03
1373,15036,04,06,16,17,26,33,03
1374,15035,01,08,09,22,24,33,03
1375,15034,12,13,17,18,20,27,13
1376,15033,03,06,21,29,31,32,05
1377,15032,11,14,16,18,29,32,16
1378,15031,01,05,07,22,26,32,11
1379,15030,08,11,14,15,16,26,07
1380,15029,07,14,15,19,21,28,07
1381,15028,04,07,10,26,27,28,14
1382,15027,05,07,09,16,26,29,07
1383,15026,02,13,17,21,22,33,13
1384,15025,10,11,12,15,27,32,14
1385,15024,09,11,16,18,23,24,10
1386,15023,08,09,10,13,29,30,01
1387,15022,04,07,10,16,23,25,10
1388,15021,14,15,16,17,27,28,08
1389,15020,01,04,07,19,22,23,04
1390,15019,02,06,11,19,25,26,04
1391,15018,06,09,12,14,28,29,09
1392,15017,13,18,20,25,27,33,12
1393,15016,02,06,10,15,17,31,13
1394,15015,01,07,20,24,25,33,04
1395,15014,02,12,16,19,27,30,11
1396,15013,08,09,24,25,26,29,01
1397,15012,03,05,22,23,29,31,06
1398,15011,04,14,15,17,18,20,15
1399,15010,01,02,03,08,21,31,09
1400,15009,04,07,14,17,21,25,14
1401,15008,04,07,10,16,20,22,03
1402,15007,01,07,09,17,20,33,08
1403,15006,01,10,11,29,31,33,13
1404,15005,07,10,16,17,18,32,15
1405,15004,02,14,15,16,23,24,10
1406,15003,10,15,20,23,24,31,15
1407,15002,07,15,16,25,28,32,05
1408,15001,01,07,09,16,20,23,06
1409,14152,08,13,15,20,21,25,12
1410,14151,04,05,08,11,21,27,08
1411,14150,03,08,14,22,24,32,09
1412,14149,07,09,10,15,19,33,01
1413,14148,01,02,05,12,15,16,13
1414,14147,06,07,22,26,31,32,10
1415,14146,01,06,13,20,29,32,01
1416,14145,10,12,13,23,26,29,11
1417,14144,03,05,06,09,10,27,14
1418,14143,03,12,18,20,25,26,16
1419,14142,06,21,22,23,25,28,13
1420,14141,08,09,11,16,21,24,10
1421,14140,06,10,11,14,17,33,06
1422,14139,01,14,15,20,25,29,11
1423,14138,04,06,13,29,31,33,13
1424,14137,03,06,09,11,25,29,09
1425,14136,03,16,19,27,31,32,10
1426,14135,02,04,11,13,25,33,01
1427,14134,05,16,22,23,26,28,02
1428,14133,13,14,16,23,30,31,13
1429,14132,05,06,14,15,18,33,08
1430,14131,05,17,21,22,28,32,14
1431,14130,01,02,10,24,30,33,10
1432,14129,05,08,09,20,28,32,02
1433,14128,05,07,08,17,18,24,14
1434,14127,02,10,12,21,23,27,12
