,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
166,23044,02,08,15,22,24,26,16
167,23043,05,08,12,20,24,28,10
168,23042,10,17,20,23,27,30,10
169,23041,01,06,12,13,15,24,06
170,23040,09,16,17,24,29,31,08
171,23039,02,03,09,13,19,28,09
172,23038,02,09,14,17,31,33,08
173,23037,08,23,25,26,29,31,12
174,23036,13,14,18,19,24,30,09
175,23035,01,04,09,10,20,33,06
176,23034,02,03,09,11,12,17,15
177,23033,08,09,13,23,24,26,05
178,23032,06,19,20,26,28,33,01
179,23031,07,14,27,29,31,33,05
180,23030,02,03,07,16,30,31,06
181,23029,03,07,12,24,28,33,08
182,23028,05,07,10,17,20,22,14
183,23027,08,10,22,27,32,33,08
184,23026,01,18,26,30,31,33,03
185,23025,04,16,20,21,31,32,14
186,23024,03,06,09,17,27,28,03
187,23023,05,08,10,15,24,25,09
188,23022,10,11,18,19,23,31,03
189,23021,02,05,06,19,21,27,04
190,23020,01,12,17,18,26,27,05
191,23019,06,12,26,28,29,32,15
192,23018,10,12,17,19,25,31,13
193,23017,05,11,18,20,26,28,12
194,23016,14,16,19,23,28,30,03
195,23015,02,03,14,21,29,32,08
196,23014,06,07,18,23,27,30,05
197,23013,06,10,14,22,23,33,13
198,23012,03,04,07,22,26,30,06
199,23011,06,07,16,17,21,22,04
200,23010,04,05,13,18,27,29,12
201,23009,03,04,19,23,30,32,06
202,23008,05,13,18,20,26,28,06
203,23007,05,06,09,22,25,31,03
204,23006,02,10,12,14,24,26,05
205,23005,02,06,08,13,14,19,16
206,23004,01,07,15,16,20,25,16
207,23003,05,08,18,25,30,32,06
208,23002,02,06,10,16,18,22,13
209,23001,09,16,18,22,28,32,02
210,22150,01,07,11,12,22,28,05
211,22149,02,22,26,29,32,33,14
212,22148,02,15,16,17,21,31,14
213,22147,02,03,07,13,20,30,10
214,22146,06,07,13,18,26,31,06
215,22145,03,21,25,30,31,33,11
216,22144,07,20,22,23,31,32,05
217,22143,07,08,13,29,30,33,03
218,22142,01,03,13,16,21,27,03
219,22141,05,12,13,17,20,27,14
220,22140,08,09,18,19,20,27,15
221,22139,06,07,09,16,17,19,14
222,22138,02,14,19,21,25,28,11
223,22137,08,21,23,27,28,33,01
224,22136,08,10,14,15,18,22,08
225,22135,09,11,13,24,28,32,06
226,22134,01,05,14,17,24,31,14
227,22133,05,08,16,17,21,25,12
228,22132,01,03,18,26,32,33,04
229,22131,03,05,10,13,19,29,06
230,22130,02,08,15,17,26,28,12
231,22129,10,12,14,22,24,27,07
232,22128,03,12,18,24,27,29,01
233,22127,03,04,09,10,29,33,13
234,22126,01,13,15,17,26,33,13
235,22125,02,03,07,12,20,31,16
236,22124,05,10,13,18,24,26,01
237,22123,10,13,16,20,21,25,05
238,22122,06,08,17,19,24,28,05
239,22121,12,17,22,27,30,31,02
240,22120,02,15,19,26,27,29,02
241,22119,02,05,15,18,26,27,04
242,22118,02,06,07,11,14,33,08
243,22117,04,13,17,18,28,29,06
244,22116,08,14,26,27,30,33,01
245,22115,06,07,18,20,27,29,09
246,22114,01,05,15,19,26,29,13
247,22113,13,14,20,24,27,29,02
248,22112,03,05,08,17,25,31,01
249,22111,02,10,11,13,28,31,01
250,22110,09,13,15,18,20,28,15
251,22109,04,11,13,19,22,33,11
252,22108,01,07,13,17,18,31,15
253,22107,03,09,11,15,19,28,16
254,22106,17,20,22,23,24,31,01
255,22105,06,12,13,15,21,23,15
256,22104,01,08,19,25,26,31,01
257,22103,06,09,12,14,20,28,10
258,22102,09,10,12,18,29,32,14
259,22101,04,16,18,19,27,28,04
260,22100,02,06,07,15,20,21,15
261,22099,01,11,23,24,26,32,15
262,22098,02,03,04,06,21,33,05
263,22097,04,05,10,13,30,31,14
264,22096,03,16,17,19,25,33,07
265,22095,04,13,14,18,20,28,08
