,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
723,19059,07,08,15,27,32,08,12
724,19058,03,10,13,14,32,07,11
725,19057,08,14,16,34,35,06,12
726,19056,01,07,10,12,23,06,08
727,19055,02,04,06,19,22,02,06
728,19054,02,18,23,27,30,05,10
729,19053,01,11,19,26,35,11,12
730,19052,04,10,15,20,24,07,11
731,19051,11,15,16,20,29,04,08
732,19050,04,15,16,20,35,03,12
733,19049,10,16,22,26,27,07,11
734,19048,06,10,16,29,33,05,11
735,19047,03,04,10,16,32,04,09
736,19046,02,08,14,15,35,10,12
737,19045,01,04,16,19,33,03,12
738,19044,03,06,10,12,31,01,02
739,19043,02,06,07,12,15,06,12
740,19042,04,10,13,28,33,11,12
741,19041,12,19,20,22,28,02,06
742,19040,01,03,31,32,34,01,03
743,19039,01,12,18,26,35,06,12
744,19038,05,11,16,18,27,07,12
745,19037,06,16,26,33,35,04,08
746,19036,03,09,21,28,30,01,12
747,19035,01,03,05,07,18,08,09
748,19034,08,12,15,27,30,01,02
749,19033,01,02,04,16,24,07,09
750,19032,01,04,07,11,30,07,08
751,19031,03,08,21,26,33,04,05
752,19030,07,09,13,14,33,02,04
753,19029,01,04,18,24,28,02,03
754,19028,06,22,28,29,33,02,07
755,19027,16,18,24,25,27,02,07
756,19026,10,12,15,17,19,02,03
757,19025,06,13,16,19,29,03,07
758,19024,11,17,19,29,33,08,09
759,19023,01,03,14,26,30,06,11
760,19022,01,04,14,15,21,01,05
761,19021,07,13,17,24,33,01,10
762,19020,01,08,16,27,34,03,12
763,19019,04,11,19,25,32,01,02
764,19018,03,18,19,26,34,06,12
765,19017,01,05,07,22,25,03,04
766,19016,03,05,13,16,28,02,06
767,19015,02,05,10,13,30,04,06
768,19014,12,14,20,28,31,09,11
769,19013,08,10,15,17,18,01,08
770,19012,05,09,17,18,19,07,10
771,19011,04,12,13,16,17,04,09
772,19010,03,07,24,25,27,02,12
773,19009,03,09,15,18,26,06,12
774,19008,03,08,17,20,24,06,11
775,19007,03,12,16,29,32,01,05
776,19006,14,17,19,25,30,04,08
777,19005,21,26,27,29,34,05,06
778,19004,15,16,17,31,32,03,09
779,19003,04,08,18,20,32,10,12
780,19002,02,07,14,22,31,01,07
781,19001,06,18,23,26,28,03,12
782,18154,14,22,23,26,30,03,05
783,18153,03,06,07,08,21,01,08
784,18152,02,04,05,12,28,08,11
785,18151,04,08,18,29,30,03,07
786,18150,05,12,13,31,34,10,12
787,18149,01,07,10,11,20,03,06
788,18148,02,06,24,33,34,02,03
789,18147,01,11,26,33,35,02,10
790,18146,03,08,09,13,33,01,02
791,18145,09,18,29,31,33,06,11
792,18144,06,17,18,24,31,07,11
793,18143,04,07,20,22,33,01,02
794,18142,19,24,28,29,34,10,11
795,18141,03,07,23,26,33,04,09
796,18140,01,06,08,12,15,03,04
797,18139,05,11,16,28,35,06,09
798,18138,01,23,24,28,33,04,05
799,18137,07,10,22,23,33,08,11
800,18136,03,11,12,19,21,05,11
801,18135,14,19,23,27,34,06,12
802,18134,04,05,19,31,35,02,12
803,18133,08,12,14,15,19,01,10
804,18132,03,16,22,23,27,01,04
805,18131,12,14,21,32,33,02,11
806,18130,03,04,16,18,25,01,11
807,18129,04,07,21,22,29,03,06
808,18128,11,12,14,16,26,08,09
809,18127,01,03,04,11,29,08,12
810,18126,11,13,15,21,27,05,06
811,18125,07,16,20,21,34,04,06
812,18124,08,10,12,19,20,10,11
813,18123,06,09,29,32,35,02,04
814,18122,08,09,21,30,31,05,12
815,18121,06,07,21,29,30,01,10
816,18120,21,22,25,27,30,08,09
817,18119,06,09,11,16,35,02,05
818,18118,04,05,14,21,34,06,09
819,18117,07,11,13,22,29,03,08
820,18116,01,14,17,21,33,07,10
821,18115,02,06,13,18,25,01,02
822,18114,12,18,26,28,29,05,06
823,18113,08,12,27,31,33,04,08
824,18112,03,07,08,09,29,09,10
825,18111,03,16,27,28,32,04,05
826,18110,06,19,21,27,28,03,11
827,18109,10,16,23,25,34,02,05
828,18108,09,10,24,31,32,07,12
829,18107,07,08,09,10,22,03,04
830,18106,04,14,17,24,31,01,04
831,18105,01,16,19,20,31,02,07
832,18104,01,13,14,26,28,07,11
833,18103,14,24,26,28,35,02,03
834,18102,06,07,13,22,24,10,12
835,18101,03,14,15,23,29,04,05
836,18100,06,20,21,26,30,06,09
837,18099,12,13,16,20,21,01,07
838,18098,02,15,18,25,27,05,07
839,18097,10,12,14,18,23,01,04
840,18096,13,14,20,28,34,06,10
841,18095,07,14,18,29,35,05,12
842,18094,11,16,25,30,34,08,10
843,18093,03,11,16,18,33,03,11
844,18092,05,07,14,18,19,04,10
845,18091,06,22,26,28,31,01,07
846,18090,06,20,24,33,34,04,11
847,18089,26,27,28,32,34,06,10
848,18088,08,09,21,25,33,01,08
849,18087,03,14,19,23,25,01,04
850,18086,16,22,24,29,31,04,05
851,18085,01,02,14,25,31,05,07
852,18084,06,11,17,22,35,11,12
853,18083,07,12,25,27,28,10,11
854,18082,01,02,14,17,18,08,10
855,18081,02,10,13,21,35,01,12
856,18080,07,16,24,26,31,10,11
857,18079,03,04,10,27,29,01,05
858,18078,07,11,12,22,30,03,06
859,18077,01,06,09,15,26,08,09
860,18076,07,18,28,29,32,06,08
861,18075,01,06,12,20,34,04,12
862,18074,03,09,12,28,30,04,12
863,18073,13,19,24,25,29,02,08
864,18072,05,12,17,24,26,01,02
865,18071,02,05,23,30,31,03,09
866,18070,02,05,10,16,30,04,07
867,18069,01,08,13,21,24,02,11
868,18068,08,12,16,26,33,05,06
869,18067,03,07,12,18,31,07,10
870,18066,01,20,23,32,33,01,04
871,18065,07,10,28,31,32,08,10
872,18064,01,03,04,11,29,02,04
873,18063,05,14,15,32,34,03,10
874,18062,12,14,19,23,35,02,07
875,18061,04,10,12,28,31,08,11
876,18060,04,22,27,29,31,02,10
877,18059,01,09,10,27,35,06,11
878,18058,09,11,12,26,32,04,10
879,18057,13,19,22,27,28,05,06
880,18056,02,04,16,28,34,05,07
881,18055,03,07,20,33,34,09,10
882,18054,09,10,12,20,30,01,07
883,18053,11,16,21,23,25,02,12
884,18052,05,16,18,19,25,02,07
885,18051,09,18,28,29,35,03,11
886,18050,22,24,26,34,35,06,12
887,18049,04,07,09,10,13,06,12
888,18048,02,03,11,20,25,02,07
889,18047,03,08,10,14,20,04,08
890,18046,10,20,22,29,32,05,10
891,18045,02,05,20,30,35,05,09
892,18044,02,04,06,18,21,05,08
893,18043,03,06,13,28,33,04,11
894,18042,03,19,25,29,35,05,09
895,18041,01,23,25,31,33,01,12
896,18040,05,07,18,27,31,01,08
897,18039,02,07,14,29,32,10,11
898,18038,14,23,25,31,32,01,03
899,18037,01,03,27,30,31,02,11
900,18036,11,17,18,21,27,07,08
901,18035,05,07,10,12,24,07,11
902,18034,08,11,22,27,32,03,07
903,18033,02,03,19,23,34,04,09
904,18032,07,10,17,32,35,05,12
905,18031,03,08,13,17,23,05,11
906,18030,05,18,21,28,32,09,11
907,18029,03,09,21,25,29,01,08
908,18028,04,19,25,30,35,04,07
909,18027,01,18,20,21,26,04,11
910,18026,01,02,03,04,30,03,05
911,18025,07,08,09,15,34,07,08
912,18024,02,16,24,30,32,04,07
913,18023,12,13,18,21,29,02,08
914,18022,02,10,19,33,35,05,06
915,18021,05,06,08,09,15,04,11
916,18020,01,10,13,14,21,09,12
917,18019,10,11,19,21,28,05,12
918,18018,06,08,13,24,28,06,12
919,18017,04,19,21,23,31,04,09
920,18016,01,02,12,13,23,09,12
921,18015,04,13,15,18,29,05,11
922,18014,14,16,18,24,31,01,08
923,18013,08,24,31,33,35,07,10
924,18012,03,22,24,29,34,07,11
925,18011,03,13,15,23,26,01,10
926,18010,24,25,26,28,29,04,12
927,18009,10,12,28,30,34,03,04
928,18008,09,15,17,20,22,10,11
929,18007,03,04,28,31,34,04,11
930,18006,19,20,30,32,33,03,05
931,18005,04,09,23,24,30,08,11
932,18004,04,09,22,28,30,01,10
933,18003,04,21,23,24,30,09,10
934,18002,12,20,23,27,34,01,06
935,18001,01,13,22,25,35,03,04
936,17153,01,09,24,26,34,09,12
937,17152,02,04,07,23,28,02,08
938,17151,05,06,23,28,32,04,05
939,17150,03,06,10,13,18,09,11
940,17149,10,18,19,25,26,04,12
941,17148,19,27,31,32,35,11,12
942,17147,05,16,17,25,34,01,11
943,17146,01,05,11,14,35,09,10
944,17145,04,07,17,18,19,03,10
945,17144,03,21,23,29,32,10,11
946,17143,06,09,24,29,32,02,07
947,17142,01,05,16,19,28,02,10
948,17141,02,08,21,22,29,03,05
949,17140,10,16,25,26,29,01,05
950,17139,02,06,19,25,32,09,12
951,17138,04,07,09,20,25,02,11
952,17137,01,20,22,28,29,05,07
953,17136,01,11,20,21,22,03,04
954,17135,01,12,15,19,22,02,04
955,17134,07,18,19,32,34,02,10
956,17133,15,17,19,32,33,01,03
957,17132,11,17,23,26,27,01,10
958,17131,03,05,08,19,34,01,12
959,17130,05,18,28,33,34,03,04
960,17129,05,17,20,32,33,04,09
961,17128,09,11,13,18,33,02,03
962,17127,02,15,18,21,22,03,10
963,17126,03,04,13,24,33,01,11
964,17125,07,11,18,26,28,04,05
965,17124,03,29,30,32,35,03,08
966,17123,03,15,23,26,32,01,12
967,17122,03,12,18,29,34,03,11
968,17121,01,06,12,26,31,01,07
969,17120,08,15,24,26,27,05,06
970,17119,05,07,13,29,35,03,08
971,17118,02,07,16,20,33,03,11
972,17117,05,07,09,24,32,08,10
973,17116,02,27,30,32,33,01,03
974,17115,14,19,20,25,31,06,08
975,17114,06,07,12,18,23,01,12
976,17113,05,08,17,18,23,04,12
977,17112,05,06,20,31,32,06,12
978,17111,02,14,17,26,34,08,12
979,17110,10,14,20,21,35,02,05
980,17109,06,09,19,26,34,05,07
981,17108,01,04,15,21,22,04,09
982,17107,04,10,19,25,27,06,12
983,17106,09,12,18,23,29,02,04
984,17105,04,15,22,24,32,02,09
985,17104,09,11,22,27,30,09,11
986,17103,04,19,20,24,29,03,04
987,17102,01,12,23,24,29,08,12
988,17101,05,15,21,25,29,05,08
989,17100,02,05,18,19,31,01,09
990,17099,08,09,17,18,24,03,07
991,17098,06,09,17,30,35,10,11
992,17097,07,14,19,22,34,07,12
993,17096,03,07,09,17,28,04,12
994,17095,15,32,33,34,35,03,12
995,17094,03,05,08,29,33,04,08
996,17093,05,06,17,21,29,02,04
997,17092,03,07,09,17,34,04,05
998,17091,01,05,07,16,19,03,12
999,17090,03,06,15,22,35,09,11
1000,17089,03,05,06,15,18,03,10
1001,17088,05,28,31,34,35,08,09
1002,17087,03,14,21,29,35,02,06
1003,17086,12,15,18,22,31,01,08
1004,17085,09,13,14,25,30,02,05
1005,17084,06,11,14,21,31,09,12
1006,17083,02,05,14,22,34,03,09
1007,17082,05,13,20,21,25,08,09
1008,17081,02,12,15,20,34,01,06
1009,17080,08,10,21,30,31,02,05
1010,17079,01,17,19,32,33,02,11
1011,17078,04,05,27,31,34,03,06
1012,17077,01,03,04,25,31,06,09
1013,17076,02,07,25,30,35,07,12
1014,17075,05,11,16,18,35,01,06
1015,17074,08,10,11,13,17,08,11
1016,17073,07,18,28,31,33,01,02
1017,17072,01,03,29,32,34,02,05
1018,17071,01,04,11,14,33,05,07
1019,17070,06,16,18,26,30,02,03
1020,17069,10,16,20,23,32,08,11
1021,17068,07,08,19,24,27,06,07
1022,17067,10,17,18,32,35,10,11
1023,17066,11,15,23,26,30,02,11
1024,17065,05,11,12,19,28,05,12
1025,17064,01,08,20,27,30,03,04
1026,17063,18,21,22,24,29,05,11
1027,17062,01,04,06,08,28,08,12
1028,17061,10,19,23,25,30,02,04
1029,17060,09,15,20,26,31,05,12
1030,17059,08,11,13,15,17,03,10
1031,17058,14,18,20,21,28,03,06
1032,17057,12,16,19,23,24,02,05
1033,17056,01,04,24,27,32,03,10
1034,17055,19,20,22,30,33,03,09
1035,17054,16,29,30,32,33,04,05
1036,17053,06,19,20,22,26,01,11
1037,17052,03,19,24,28,33,04,12
1038,17051,14,17,18,22,29,10,11
1039,17050,12,14,17,20,28,02,06
1040,17049,09,12,14,22,31,05,08
1041,17048,07,09,13,15,19,03,10
1042,17047,15,19,32,33,34,09,12
1043,17046,04,17,20,23,30,02,03
1044,17045,01,08,11,21,35,09,12
1045,17044,11,16,17,18,25,02,09
1046,17043,06,13,22,25,35,09,12
1047,17042,02,17,31,33,34,01,07
1048,17041,02,04,06,25,31,05,09
1049,17040,04,06,10,23,29,09,11
1050,17039,05,06,14,17,26,03,08
1051,17038,04,05,13,18,27,03,09
1052,17037,13,15,16,32,34,06,11
1053,17036,01,04,09,18,33,02,05
1054,17035,14,17,22,30,33,07,12
1055,17034,06,12,21,26,29,02,11
1056,17033,15,22,23,25,34,05,11
1057,17032,02,13,14,18,29,03,09
1058,17031,02,16,17,30,32,02,09
1059,17030,21,22,24,29,34,05,06
1060,17029,01,06,14,17,29,01,11
1061,17028,06,18,22,23,33,09,11
1062,17027,08,17,25,33,34,03,11
1063,17026,10,14,19,25,32,02,07
1064,17025,10,16,19,20,34,04,05
1065,17024,21,23,29,32,35,11,12
1066,17023,05,08,12,24,34,07,10
1067,17022,02,03,09,17,24,06,12
1068,17021,01,15,17,20,26,06,08
1069,17020,16,21,24,27,28,04,07
1070,17019,02,06,14,23,25,02,10
1071,17018,06,07,10,17,23,01,09
1072,17017,04,19,24,26,29,04,06
1073,17016,03,13,28,30,33,09,10
1074,17015,01,07,19,27,34,01,02
1075,17014,04,08,15,24,25,02,05
1076,17013,05,12,17,30,34,11,12
1077,17012,04,05,24,26,35,07,12
1078,17011,05,15,21,29,34,06,09
1079,17010,04,10,13,18,35,01,02
1080,17009,05,06,08,12,22,03,04
1081,17008,03,04,09,25,32,02,04
1082,17007,08,11,17,25,27,02,04
1083,17006,04,06,23,32,33,05,06
1084,17005,05,09,20,26,35,02,11
1085,17004,05,08,11,28,31,06,07
1086,17003,03,05,06,13,22,09,12
1087,17002,07,12,14,31,34,09,11
1088,17001,07,09,20,31,33,08,10
1089,16154,06,16,17,21,29,04,06
1090,16153,13,18,25,29,35,03,11
1091,16152,08,17,22,24,30,05,11
1092,16151,04,07,11,14,21,05,12
1093,16150,01,10,18,24,29,07,10
1094,16149,01,02,03,12,33,04,09
1095,16148,05,14,15,23,25,06,08
1096,16147,07,19,20,28,30,04,12
1097,16146,21,22,25,29,34,01,11
1098,16145,01,09,11,17,28,03,08
1099,16144,04,05,13,22,31,05,10
1100,16143,04,06,22,27,31,06,07
1101,16142,01,06,17,23,26,06,12
1102,16141,02,06,07,19,28,11,12
1103,16140,12,16,23,29,34,04,11
1104,16139,13,21,30,31,35,01,08
1105,16138,12,13,16,29,35,05,11
1106,16137,07,20,23,29,34,02,10
1107,16136,05,06,07,19,23,04,11
1108,16135,01,10,12,18,35,01,12
1109,16134,01,03,31,32,34,02,07
1110,16133,01,04,05,23,28,05,09
1111,16132,04,18,19,22,35,01,02
1112,16131,06,13,25,28,30,02,07
1113,16130,11,23,32,33,34,01,12
1114,16129,07,08,19,30,35,08,09
1115,16128,17,20,22,30,33,07,08
1116,16127,01,05,15,24,26,09,10
1117,16126,11,13,16,19,24,06,08
1118,16125,06,07,08,28,30,01,02
1119,16124,04,13,24,26,29,08,11
1120,16123,04,05,13,20,32,01,10
1121,16122,01,03,12,14,29,02,06
1122,16121,04,05,08,15,20,01,06
1123,16120,03,10,20,32,34,04,07
1124,16119,02,03,09,21,22,05,10
1125,16118,12,15,18,24,29,03,11
1126,16117,03,09,14,16,23,02,09
1127,16116,04,06,08,19,34,10,12
1128,16115,01,04,15,31,34,02,11
1129,16114,16,17,20,32,33,03,07
1130,16113,10,11,17,30,34,03,12
1131,16112,07,22,23,31,32,04,05
1132,16111,04,09,22,26,27,02,12
1133,16110,07,20,21,23,30,07,10
1134,16109,03,25,28,31,34,11,12
1135,16108,10,17,22,23,25,07,09
1136,16107,02,06,19,24,26,04,06
1137,16106,03,21,30,33,35,01,04
1138,16105,08,11,31,34,35,01,02
1139,16104,01,20,22,23,30,06,07
1140,16103,05,14,20,23,29,03,11
1141,16102,03,05,06,34,35,03,12
1142,16101,04,06,28,33,35,07,12
1143,16100,08,12,19,26,30,02,12
1144,16099,03,04,12,14,27,01,05
1145,16098,08,09,11,20,29,04,05
1146,16097,06,08,18,31,33,10,12
1147,16096,01,06,08,12,21,05,10
1148,16095,08,12,18,19,21,03,06
1149,16094,01,14,16,17,18,05,07
1150,16093,01,08,14,30,35,06,07
1151,16092,02,13,31,33,34,07,11
1152,16091,08,13,17,21,22,02,08
1153,16090,04,06,08,28,32,07,12
1154,16089,07,14,17,28,34,07,10
1155,16088,04,06,17,21,30,06,11
1156,16087,03,16,17,23,25,07,09
1157,16086,03,05,22,25,30,07,09
1158,16085,14,15,27,31,32,01,07
1159,16084,08,12,15,26,35,01,08
1160,16083,01,05,09,33,35,01,05
1161,16082,03,08,23,28,29,02,07
1162,16081,06,07,18,21,33,03,08
1163,16080,15,20,29,30,33,07,12
1164,16079,07,14,15,20,27,05,10
1165,16078,07,18,29,31,35,05,11
1166,16077,09,11,14,16,35,02,05
1167,16076,03,08,10,17,31,05,06
1168,16075,03,07,17,22,31,08,12
1169,16074,01,05,07,11,14,03,08
1170,16073,07,14,17,24,27,08,10
1171,16072,16,20,24,26,31,04,09
1172,16071,08,15,19,20,33,07,12
1173,16070,02,09,13,19,23,05,07
1174,16069,14,17,19,23,30,02,09
1175,16068,05,07,22,26,34,07,12
1176,16067,02,08,11,13,19,02,08
1177,16066,10,28,29,31,33,05,11
1178,16065,01,09,18,22,24,11,12
1179,16064,01,02,10,18,35,05,11
1180,16063,08,12,22,27,35,05,09
1181,16062,02,10,14,15,35,01,09
1182,16061,09,15,17,21,23,07,12
1183,16060,02,06,22,27,34,08,11
1184,16059,02,10,27,28,33,05,07
1185,16058,02,15,17,23,28,05,09
1186,16057,08,17,19,23,30,03,08
1187,16056,10,12,14,31,35,04,05
1188,16055,06,21,27,30,34,04,09
1189,16054,02,05,09,21,30,06,07
1190,16053,04,13,15,30,35,03,05
1191,16052,08,14,19,20,33,10,11
1192,16051,16,21,23,24,32,07,08
1193,16050,07,17,21,29,35,04,05
1194,16049,03,04,05,27,33,04,09
1195,16048,04,12,17,25,27,04,10
1196,16047,02,03,23,29,32,05,09
1197,16046,03,19,22,32,34,08,12
1198,16045,07,11,25,30,33,02,08
1199,16044,01,06,10,20,31,05,11
1200,16043,01,09,16,33,34,09,12
1201,16042,02,06,08,19,24,01,06
1202,16041,12,23,24,27,34,03,06
1203,16040,20,22,29,30,35,01,06
1204,16039,01,08,16,22,28,04,05
1205,16038,03,07,09,15,33,05,12
1206,16037,03,05,13,24,34,03,05
1207,16036,07,15,26,30,31,03,06
1208,16035,17,22,24,25,29,09,12
1209,16034,14,18,31,32,35,09,10
1210,16033,03,14,15,31,35,09,10
1211,16032,05,09,14,20,33,05,12
1212,16031,03,14,24,27,29,04,11
1213,16030,10,19,21,29,33,04,06
1214,16029,20,26,27,29,32,05,12
1215,16028,13,18,20,23,31,03,06
1216,16027,06,11,13,15,28,02,06
1217,16026,02,06,29,30,34,01,07
1218,16025,03,06,13,23,24,07,10
1219,16024,01,02,11,15,18,04,08
1220,16023,04,09,14,25,27,06,11
1221,16022,04,18,21,30,35,02,11
1222,16021,01,04,09,10,35,09,11
1223,16020,01,16,22,29,30,02,09
1224,16019,04,11,15,20,26,08,09
1225,16018,05,10,13,27,33,08,11
1226,16017,11,18,24,28,29,05,10
1227,16016,03,10,22,29,32,02,05
1228,16015,01,04,10,13,30,03,09
1229,16014,06,08,21,24,27,02,10
1230,16013,03,21,23,31,35,02,11
1231,16012,05,07,11,23,28,03,12
1232,16011,02,08,10,15,23,05,10
1233,16010,12,13,15,16,28,02,05
1234,16009,05,08,10,17,20,02,12
1235,16008,05,12,31,34,35,04,05
1236,16007,02,05,14,32,35,01,03
1237,16006,14,16,17,22,24,02,09
1238,16005,06,09,12,15,20,08,11
1239,16004,10,20,23,32,35,09,10
1240,16003,04,12,17,22,26,06,07
1241,16002,07,12,18,25,35,07,09
1242,16001,01,07,19,20,30,05,10
1243,15153,01,07,22,27,33,02,11
1244,15152,04,05,22,29,35,02,11
1245,15151,15,16,18,30,35,01,07
1246,15150,04,13,18,25,33,03,07
1247,15149,04,06,10,12,28,02,08
1248,15148,08,11,27,31,33,08,09
1249,15147,01,02,13,18,19,08,10
1250,15146,04,15,19,27,31,04,11
1251,15145,06,07,20,29,32,11,12
1252,15144,01,09,24,26,29,06,11
1253,15143,09,20,31,33,35,10,11
1254,15142,12,14,22,26,30,03,06
1255,15141,02,04,15,19,31,02,03
1256,15140,01,11,15,26,35,06,11
1257,15139,02,03,05,25,32,05,07
1258,15138,01,16,20,29,32,04,07
1259,15137,14,17,21,23,26,08,11
1260,15136,05,20,23,29,32,02,10
1261,15135,05,16,20,25,29,06,08
1262,15134,01,02,06,15,35,04,07
1263,15133,03,07,08,25,30,04,08
1264,15132,03,08,14,18,27,01,05
1265,15131,11,17,19,20,27,02,03
1266,15130,17,25,31,32,34,02,12
1267,15129,01,06,23,25,29,03,09
1268,15128,10,12,23,30,32,03,04
1269,15127,09,11,14,19,30,03,08
1270,15126,04,05,08,09,21,03,06
1271,15125,02,03,15,17,28,08,10
1272,15124,04,06,12,31,32,03,06
1273,15123,04,15,27,29,30,02,10
1274,15122,11,13,15,26,35,06,11
1275,15121,02,04,17,27,28,04,06
1276,15120,01,09,15,24,32,05,10
1277,15119,01,08,12,16,21,06,11
1278,15118,03,07,20,24,31,04,09
1279,15117,06,17,20,30,33,10,11
1280,15116,07,10,19,24,33,03,07
1281,15115,08,12,13,14,16,03,09
1282,15114,09,18,24,31,34,02,10
1283,15113,01,14,21,29,33,02,10
1284,15112,04,05,15,19,28,04,11
1285,15111,07,08,16,24,28,03,10
1286,15110,02,07,10,22,30,07,11
1287,15109,01,06,11,22,31,03,12
1288,15108,01,13,16,26,31,07,12
1289,15107,03,23,25,28,29,06,07
1290,15106,02,11,13,22,30,02,03
1291,15105,08,09,15,21,27,05,09
1292,15104,16,19,25,30,34,04,09
1293,15103,07,09,15,25,34,04,10
1294,15102,11,14,15,33,34,03,12
1295,15101,06,12,17,18,32,07,12
1296,15100,09,15,18,23,32,05,07
1297,15099,09,12,14,22,25,05,10
1298,15098,09,14,21,27,33,06,09
1299,15097,04,16,17,26,27,01,04
1300,15096,03,09,12,18,21,02,06
1301,15095,08,14,26,34,35,05,10
1302,15094,02,03,10,11,29,03,07
1303,15093,16,17,25,26,27,02,04
1304,15092,02,14,21,27,34,05,08
1305,15091,02,07,28,29,30,03,07
1306,15090,06,09,11,17,21,06,08
1307,15089,05,12,18,20,27,10,12
1308,15088,05,15,28,31,34,11,12
1309,15087,02,05,15,17,22,01,11
1310,15086,05,09,11,15,32,04,09
1311,15085,02,03,04,06,16,03,12
1312,15084,10,20,21,32,34,06,07
1313,15083,14,16,19,25,29,10,12
1314,15082,08,15,28,31,33,03,06
1315,15081,03,04,10,13,17,05,09
1316,15080,14,20,29,30,32,03,08
1317,15079,01,09,17,23,24,04,05
1318,15078,19,24,26,28,33,01,02
1319,15077,01,16,17,22,28,02,09
1320,15076,03,19,21,31,34,05,12
1321,15075,13,14,26,27,33,10,12
1322,15074,01,12,21,27,33,04,09
1323,15073,09,26,27,30,34,01,06
1324,15072,19,20,21,31,33,09,10
1325,15071,04,06,13,16,34,04,10
1326,15070,03,09,12,17,18,04,12
1327,15069,02,09,11,22,25,01,07
1328,15068,02,03,20,31,35,04,08
1329,15067,04,10,18,24,27,04,11
1330,15066,01,03,07,13,29,02,10
1331,15065,04,05,07,13,35,08,11
1332,15064,02,08,20,28,31,07,10
1333,15063,01,04,06,34,35,02,04
1334,15062,06,07,13,14,15,01,04
1335,15061,06,07,08,16,22,02,10
1336,15060,16,24,25,26,33,04,11
1337,15059,07,09,19,23,32,01,03
1338,15058,10,14,20,27,30,07,12
1339,15057,01,05,07,14,26,04,06
1340,15056,06,12,19,26,35,03,10
1341,15055,06,11,14,20,30,05,10
1342,15054,02,09,15,24,34,03,09
1343,15053,08,25,28,29,32,04,07
1344,15052,13,19,24,27,29,07,08
1345,15051,01,02,11,16,21,01,05
1346,15050,06,07,10,20,28,02,07
1347,15049,08,09,11,15,22,08,10
1348,15048,10,11,22,24,33,02,09
1349,15047,01,02,17,23,31,05,12
1350,15046,05,07,10,22,26,04,10
1351,15045,08,09,22,29,30,08,12
1352,15044,16,18,27,31,33,01,03
1353,15043,02,20,22,25,29,02,07
1354,15042,03,07,12,17,24,02,11
1355,15041,01,11,21,23,28,01,10
1356,15040,02,09,10,23,35,09,12
1357,15039,03,06,07,16,25,01,06
1358,15038,12,19,22,31,35,07,08
1359,15037,10,16,21,28,31,07,08
1360,15036,14,18,20,23,24,04,08
1361,15035,22,24,29,30,35,01,10
1362,15034,04,08,15,18,26,05,09
1363,15033,03,17,22,26,28,03,07
1364,15032,06,21,25,27,30,07,11
1365,15031,07,21,29,32,33,04,12
1366,15030,09,18,19,26,31,02,05
1367,15029,07,10,19,30,35,03,05
1368,15028,03,09,28,32,33,09,10
1369,15027,05,21,22,25,28,03,10
1370,15026,11,13,14,15,22,02,08
1371,15025,07,10,20,22,27,10,11
1372,15024,02,06,08,16,34,03,04
1373,15023,06,09,11,12,22,03,11
1374,15022,09,11,14,15,26,11,12
1375,15021,22,23,24,26,31,05,06
1376,15020,11,26,28,29,32,01,04
1377,15019,02,08,16,22,24,01,03
1378,15018,04,07,10,23,31,03,07
1379,15017,07,13,16,17,29,01,07
1380,15016,06,07,16,20,34,09,11
1381,15015,01,05,13,17,32,04,11
1382,15014,08,16,25,29,35,03,10
1383,15013,11,15,25,28,35,07,10
1384,15012,03,04,06,11,31,05,09
1385,15011,04,13,22,25,30,01,06
1386,15010,02,06,17,30,35,02,07
1387,15009,17,22,26,27,33,06,10
1388,15008,07,10,11,15,17,03,10
1389,15007,02,07,08,14,31,04,08
1390,15006,06,08,30,32,33,03,07
1391,15005,11,14,15,18,19,07,08
1392,15004,03,12,14,18,28,05,06
1393,15003,12,19,27,28,34,01,12
1394,15002,03,14,20,26,32,06,10
1395,15001,08,09,19,27,30,06,07
1396,14154,05,12,17,23,28,02,09
1397,14153,01,08,13,24,32,05,10
1398,14152,05,12,18,24,33,01,05
1399,14151,03,08,26,31,32,08,12
1400,14150,19,21,30,33,35,05,07
1401,14149,02,13,19,26,35,01,05
1402,14148,03,09,10,11,20,07,09
1403,14147,05,09,14,26,34,02,09
1404,14146,02,16,23,24,28,10,11
1405,14145,15,19,22,24,26,10,11
1406,14144,01,21,24,25,35,04,11
1407,14143,01,11,14,18,25,06,10
1408,14142,18,21,25,28,30,04,06
1409,14141,04,17,20,26,29,05,08
1410,14140,01,19,20,25,34,07,12
1411,14139,03,05,07,15,34,01,10
1412,14138,01,07,29,32,34,09,12
1413,14137,02,11,16,22,34,02,05
1414,14136,04,18,20,34,35,07,11
1415,14135,20,26,28,30,35,09,12
1416,14134,02,05,07,11,32,09,12
1417,14133,02,08,12,14,18,04,12
1418,14132,01,03,04,19,32,01,07
1419,14131,03,16,19,23,27,03,07
1420,14130,02,18,31,32,33,05,07
1421,14129,07,22,28,30,32,05,06
1422,14128,02,04,16,22,34,08,11
1423,14127,02,04,06,15,19,02,11
1424,14126,02,09,22,30,34,09,10
1425,14125,12,15,19,23,31,04,10
1426,14124,01,03,28,29,35,08,12
1427,14123,01,09,12,22,25,02,09
1428,14122,03,10,25,26,35,01,07
1429,14121,13,16,18,22,32,08,10
1430,14120,01,04,06,18,33,05,11
1431,14119,04,08,09,13,18,08,12
1432,14118,02,03,23,24,26,05,11
1433,14117,03,14,17,18,33,06,09
