,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
166,23032,05,06,18,28,30,02,07
167,23031,05,07,08,16,25,03,11
168,23030,06,11,12,20,35,05,12
169,23029,07,25,27,34,35,09,11
170,23028,01,03,29,30,34,04,12
171,23027,09,10,12,15,23,03,06
172,23026,02,13,24,27,30,01,06
173,23025,03,09,27,30,31,11,12
174,23024,11,15,24,27,30,01,10
175,23023,09,21,23,25,33,03,10
176,23022,07,11,15,26,28,08,10
177,23021,02,09,18,23,27,03,05
178,23020,05,06,23,25,28,06,09
179,23019,05,08,09,11,15,06,08
180,23018,04,08,17,26,30,03,11
181,23017,02,05,09,22,27,10,11
182,23016,02,04,12,31,32,07,11
183,23015,08,16,24,25,34,08,12
184,23014,03,08,18,22,24,01,09
185,23013,01,02,09,23,25,02,06
186,23012,07,16,17,18,28,02,03
187,23011,02,07,08,17,25,01,03
188,23010,05,06,13,23,26,01,06
189,23009,01,05,11,15,33,01,10
190,23008,04,09,17,22,25,01,05
191,23007,02,03,24,30,32,01,06
192,23006,02,04,12,27,35,06,07
193,23005,01,03,10,20,29,06,11
194,23004,04,13,15,20,22,04,08
195,23003,05,06,14,21,22,02,09
196,23002,11,14,21,26,27,02,07
197,23001,18,19,24,27,34,11,12
198,22150,06,07,26,29,30,03,12
199,22149,15,19,22,26,28,02,07
200,22148,04,05,06,26,27,07,12
201,22147,04,12,22,28,30,09,11
202,22146,01,21,23,28,35,07,09
203,22145,10,20,29,30,35,06,09
204,22144,03,04,08,15,21,04,07
205,22143,10,13,14,27,33,07,08
206,22142,07,12,14,29,35,01,11
207,22141,05,06,14,24,25,02,04
208,22140,05,15,25,26,29,04,12
209,22139,01,13,14,22,35,02,05
210,22138,05,13,16,27,33,07,12
211,22137,05,06,08,15,20,07,08
212,22136,01,11,15,17,33,03,11
213,22135,09,10,27,31,32,01,03
214,22134,03,16,23,27,32,03,06
215,22133,01,02,14,30,31,06,09
216,22132,02,27,30,34,35,09,12
217,22131,02,06,08,10,17,05,06
218,22130,05,07,15,18,23,05,10
219,22129,10,17,23,34,35,01,04
220,22128,10,19,21,23,35,04,10
221,22127,02,03,08,09,20,04,10
222,22126,04,05,08,22,35,01,03
223,22125,03,07,14,16,19,01,11
224,22124,02,04,11,25,30,06,12
225,22123,02,20,28,29,30,07,10
226,22122,04,15,17,19,25,06,12
227,22121,04,15,16,20,21,04,05
228,22120,11,22,26,30,33,03,05
229,22119,01,09,16,25,29,04,09
230,22118,02,05,15,17,26,02,08
231,22117,09,12,15,21,32,02,07
232,22116,01,07,20,22,31,07,12
233,22115,17,19,20,23,27,03,08
234,22114,11,21,24,27,28,05,10
235,22113,13,15,22,31,33,05,12
236,22112,04,11,18,20,26,06,12
237,22111,06,12,16,19,31,06,10
238,22110,02,13,16,18,23,03,06
239,22109,05,09,24,29,35,05,12
240,22108,04,07,13,26,28,07,11
241,22107,07,09,19,28,29,08,10
242,22106,16,17,21,28,32,04,07
243,22105,01,08,09,21,22,01,04
244,22104,03,05,13,19,25,02,05
245,22103,08,12,16,21,32,01,12
246,22102,01,05,14,20,30,02,04
247,22101,02,04,06,07,08,03,06
248,22100,10,19,20,23,31,03,07
249,22099,07,18,25,27,33,04,05
250,22098,01,03,06,11,13,03,11
251,22097,05,13,22,28,29,05,11
252,22096,16,19,24,27,33,01,06
253,22095,05,08,22,25,35,02,07
254,22094,03,04,07,12,19,02,05
255,22093,07,11,14,21,29,07,10
256,22092,01,04,12,23,29,05,12
257,22091,02,11,20,22,34,04,12
258,22090,01,20,24,25,31,09,12
259,22089,01,20,21,31,33,03,11
260,22088,01,08,10,20,35,06,11
261,22087,04,06,10,24,28,06,12
262,22086,04,10,21,28,31,08,11
263,22085,11,16,31,33,35,06,08
264,22084,03,11,19,25,27,04,12
265,22083,02,09,17,26,32,04,06
266,22082,04,26,27,30,33,02,09
267,22081,05,10,19,31,32,09,10
268,22080,10,17,30,31,34,03,06
269,22079,07,10,19,26,32,08,12
270,22078,02,03,18,20,27,01,02
271,22077,05,10,11,16,19,01,10
272,22076,05,17,30,34,35,02,09
273,22075,04,12,13,17,18,07,09
274,22074,02,06,21,25,28,02,06
275,22073,11,18,21,25,32,02,04
276,22072,01,12,13,15,30,03,07
277,22071,09,15,19,25,29,08,09
278,22070,01,07,17,23,35,07,11
279,22069,02,03,23,28,35,02,09
280,22068,03,06,10,15,23,03,08
281,22067,04,14,15,32,33,10,11
282,22066,02,24,25,26,34,03,12
283,22065,05,10,13,22,28,01,04
284,22064,02,19,22,25,35,05,07
285,22063,02,03,22,26,31,06,10
286,22062,05,09,11,12,31,07,11
287,22061,06,09,19,22,30,01,06
288,22060,02,06,10,11,20,03,09
289,22059,04,15,18,32,34,04,09
290,22058,03,04,24,26,35,07,08
291,22057,06,12,18,21,35,07,10
292,22056,02,11,15,17,31,07,09
293,22055,01,02,12,15,23,04,06
294,22054,05,16,21,23,34,07,10
295,22053,09,17,19,20,25,01,09
296,22052,01,13,18,29,35,04,09
297,22051,01,16,17,19,33,05,06
298,22050,02,10,21,24,30,08,10
299,22049,06,10,20,28,35,01,10
300,22048,16,22,28,29,32,08,09
301,22047,07,10,11,12,33,03,11
302,22046,06,07,12,22,27,03,05
303,22045,02,03,07,12,20,01,05
304,22044,01,02,16,17,20,03,07
305,22043,02,16,17,24,30,09,12
306,22042,08,10,11,29,32,02,06
307,22041,05,15,25,26,33,06,11
308,22040,10,19,25,29,33,08,12
309,22039,01,08,11,22,31,05,11
310,22038,07,09,11,12,26,09,12
311,22037,01,09,17,20,28,06,10
312,22036,18,19,21,26,34,06,07
313,22035,09,11,13,23,31,05,08
314,22034,02,10,24,27,28,06,07
315,22033,08,15,16,19,33,03,04
316,22032,05,09,18,31,32,01,05
317,22031,07,14,16,20,28,04,08
318,22030,12,14,15,21,30,01,09
319,22029,07,08,10,14,17,10,12
320,22028,04,09,16,17,35,01,07
321,22027,03,06,11,31,32,05,12
322,22026,11,14,22,23,27,08,10
323,22025,04,07,22,24,29,01,07
324,22024,01,02,11,30,35,01,12
325,22023,04,05,18,20,25,11,12
326,22022,01,05,14,17,28,06,07
327,22021,11,15,16,18,35,06,09
328,22020,16,17,30,31,35,08,09
329,22019,01,04,07,17,21,01,02
330,22018,16,21,29,31,34,06,09
331,22017,10,14,18,23,25,07,11
332,22016,01,07,17,26,32,01,09
333,22015,01,02,08,12,30,05,12
334,22014,01,04,10,18,32,01,09
335,22013,04,09,16,25,32,05,06
336,22012,03,05,10,33,34,07,10
337,22011,03,05,17,24,32,05,12
338,22010,04,19,25,31,35,02,11
339,22009,13,14,18,31,33,07,10
340,22008,01,02,13,18,34,06,07
341,22007,05,22,23,25,35,03,11
342,22006,01,05,07,17,20,05,12
343,22005,02,13,17,19,34,05,09
344,22004,07,20,27,30,33,03,04
345,22003,02,18,24,25,34,08,12
346,22002,04,06,07,09,24,04,12
347,22001,08,11,19,22,29,03,11
348,21150,04,10,11,23,26,07,10
349,21149,20,26,28,30,35,10,11
350,21148,01,04,12,16,29,04,08
351,21147,01,02,08,12,26,01,07
352,21146,03,05,08,18,20,09,11
353,21145,03,08,25,29,30,01,06
354,21144,03,20,25,30,34,02,09
355,21143,09,17,19,29,34,04,11
356,21142,11,13,17,19,25,02,09
357,21141,02,08,16,29,34,05,12
358,21140,05,24,26,33,35,09,12
359,21139,05,13,18,23,34,08,09
360,21138,09,11,12,15,31,05,11
361,21137,02,07,13,14,19,04,05
362,21136,08,12,19,27,33,02,05
363,21135,04,07,17,29,31,05,06
364,21134,02,06,14,19,28,01,06
365,21133,08,09,17,26,28,06,08
366,21132,04,21,28,29,33,03,11
367,21131,06,08,16,34,35,05,06
368,21130,02,03,14,27,28,05,10
369,21129,02,16,17,18,34,04,10
370,21128,14,17,18,23,27,05,08
371,21127,01,02,15,17,26,02,11
372,21126,01,11,12,34,35,09,12
373,21125,17,19,21,27,31,04,09
374,21124,10,17,22,25,35,07,09
375,21123,08,23,26,27,33,08,09
376,21122,14,15,26,27,29,04,05
377,21121,02,15,19,29,30,02,09
378,21120,05,10,21,25,31,05,11
379,21119,01,02,09,16,30,09,10
380,21118,14,17,18,28,34,02,03
381,21117,11,18,21,22,33,05,06
382,21116,04,25,28,29,35,03,11
383,21115,08,13,19,20,29,06,10
384,21114,08,09,13,29,30,01,11
385,21113,17,18,25,27,28,04,08
386,21112,18,21,22,23,35,11,12
387,21111,07,08,15,19,28,08,09
388,21110,11,14,29,31,32,11,12
389,21109,03,04,07,27,31,06,09
390,21108,05,19,22,26,35,02,06
